"","iso3c","species_name","prod_method","quantity","distance","ef","emissions_nautical_mile","transport_emissions","rep"
"216","PNG","Giant Tiger Prawn","Wild",24.10937,856,25.213198008528,1040680.83527652,561.967651049321,9
"217","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,25.213198008528,53295276.8388192,28779.4494929623,9
"218","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,25.213198008528,98352786.134556,53110.5045126603,9
"219","THA","Banana Prawn","Wild",8781.70757,3756,25.213198008528,1663268967.79728,898165.24261053,9
"220","THA","Giant Tiger Prawn","Farmed",1760.44022,3756,25.213198008528,333430094.801963,180052.25119306,9
"221","THA","Giant Tiger Prawn","Wild",3418.23457,3756,25.213198008528,647418903.398177,349606.207835016,9
"222","THA","Penaeus Shrimps Nei","Farmed",588.34011,3756,25.213198008528,111432524.901696,60173.5634469158,9
"223","THA","Penaeus Shrimps Nei","Wild",21482.62901,3756,25.213198008528,4068843091.64426,2197175.2694879,9
"224","THA","Western King Prawn","Wild",54.08972,3756,25.213198008528,10244676.4522408,5532.12528421003,9
"225","VNM","Giant Tiger Prawn","Farmed",209.23717,3723,25.213198008528,39281657.4219657,21212.0950078615,9
"226","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,26.4726973417681,13293852.8059435,7178.68051520948,10
"227","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,26.4726973417681,66916685.935448,36135.0104051419,10
"228","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,26.4726973417681,3115545903.86925,1682394.7880894,10
"229","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,26.4726973417681,23942635.6497917,12929.0232508875,10
"230","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,26.4726973417681,31254224.4705587,16877.2812141017,10
"231","IDN","Banana Prawn","Wild",3115.6875,1280,26.4726973417681,211150469.629517,114021.253599939,10
"232","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,26.4726973417681,4084916.28233779,2205.85479246241,10
"233","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,26.4726973417681,134421094.857026,72587.3912227938,10
"234","IND","Giant Tiger Prawn","Wild",448.50117,5419,26.4726973417681,128679961.250832,69487.1790754491,10
"235","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,26.4726973417681,13100699.0975458,7074.37751267475,10
"236","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,26.4726973417681,189666632.603689,102419.981605992,10
"237","JPY","Kuruma Prawn","Farmed",86.42838,4915,26.4726973417681,22490964.7560617,12145.1209682733,10
"238","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,26.4726973417681,72982665.2107178,39410.6392137876,10
"239","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,26.4726973417681,1591345.02547355,859.326313755719,10
"240","PNG","Banana Prawn","Wild",19.83527,856,26.4726973417681,898959.386176656,485.438068535394,10
"241","PNG","Giant Tiger Prawn","Wild",24.10937,856,26.4726973417681,1092666.97434952,590.040166148743,10
"242","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,26.4726973417681,55957587.4913843,30217.0972453475,10
"243","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,26.4726973417681,103265898.248175,55763.5850540146,10
